season,team_name,head_coach,off_coord,def_coord,st_coord
2014,Green Bay Packers,Mike McCarthy,Tom Clements,Dom Capers,
2014,Houston Texans,Bill O'Brien,,Romeo Crennel,
2014,Indianapolis Colts,Chuck Pagano,Pep Hamilton,Greg Manusky,
2014,Jacksonville Jaguars,Gus Bradley,Jedd Fisch,Bob Babich,
2014,Kansas City Chiefs,Andy Reid,Doug Pederson,Bob Sutton,
2014,Miami Dolphins,Joe Philbin,,,
2014,Minnesota Vikings,Mike Zimmer,,,
2014,New England Patriots,Bill Belichick,Josh McDaniels,Matt Patricia,
2014,New Orleans Saints,Sean Payton,Pete Carmichael Jr.,Rob Ryan,
2014,New York Giants,Tom Coughlin,,,
2014,New York Jets,Rex Ryan,,,
2014,Philadelphia Eagles,Chip Kelly,,,
2014,Pittsburgh Steelers,Mike Tomlin,Todd Haley,Dick LeBeau,
2014,San Francisco 49ers,Jim Harbaugh,Greg Roman,Vic Fangio,
2014,Seattle Seahawks,Pete Carroll,Darrell Bevell,Dan Quinn,
2014,Tampa Bay Buccaneers,Lovie Smith,,,
2014,Tennessee Titans,Ken Whisenhunt,,,
2014,St. Louis Rams,Jeff Fisher,,,
2014,San Diego Chargers,Mike McCoy,,,
2014,Oakland Raiders,Dennis Allen; ; Tony Sparano,,,
2014,Washington Redskins,Jay Gruden,Sean McVay,Jim Haslett,
2015,Arizona Cardinals,Bruce Arians,Harold Goodwin,James Bettcher,
2015,Atlanta Falcons,Dan Quinn,,,
2015,Baltimore Ravens,John Harbaugh,Marc Trestman,Dean Pees,
2015,Buffalo Bills,Rex Ryan,,,
2015,Carolina Panthers,Ron Rivera,Mike Shula,Sean McDermott,
2015,Chicago Bears,John Fox,,,
2015,Cincinnati Bengals,Marvin Lewis,Hue Jackson,Paul Guenther,
2015,Cleveland Browns,Mike Pettine,,,
2015,Dallas Cowboys,Jason Garrett,,,
2015,Denver Broncos,Gary Kubiak,Rick Dennison,Wade Phillips,
2015,Detroit Lions,Jim Caldwell,Joe Lombardi,Teryl Austin,
2015,Green Bay Packers,Mike McCarthy,Edgar Bennett,Dom Capers,
2015,Houston Texans,Bill O'Brien,George Godsey,Romeo Crennel,
2015,Indianapolis Colts,Chuck Pagano,,,
2015,Jacksonville Jaguars,Gus Bradley,Greg Olson,Bob Babich,
2015,Kansas City Chiefs,Andy Reid,Doug Pederson,Bob Sutton,
2015,Miami Dolphins,Joe Philbin ; Dan Campbell,,,
2015,Minnesota Vikings,Mike Zimmer,Norv Turner,George Edwards,
2015,New England Patriots,Bill Belichick,Josh McDaniels,Matt Patricia,
2015,New Orleans Saints,Sean Payton,Pete Carmichael Jr.,Rob Ryan ; Dennis Allen,
2015,New York Giants,Tom Coughlin,,,
2015,New York Jets,Todd Bowles,,,
2015,Philadelphia Eagles,Chip Kelly (fired December 29; 6–9 record); Pat Shurmur (interim week 17; 1–0 record),,,
2015,Pittsburgh Steelers,Mike Tomlin,Todd Haley,Keith Butler,
2015,San Francisco 49ers,Jim Tomsula,Geep Chryst,Eric Mangini,
2015,Seattle Seahawks,Pete Carroll,Darrell Bevell,Kris Richard,
2015,Tampa Bay Buccaneers,Lovie Smith,,,
2015,Tennessee Titans,Ken Whisenhunt  ; Mike Mularkey,,,
2015,St. Louis Rams,Jeff Fisher,,,
2015,San Diego Chargers,Mike McCoy,,,
2015,Oakland Raiders,Jack Del Rio,,,
2015,Washington Redskins,Jay Gruden,Sean McVay,Joe Barry,
2016,Arizona Cardinals,Bruce Arians,,,
2016,Atlanta Falcons,Dan Quinn,Kyle Shanahan,Richard Smith,
2016,Baltimore Ravens,John Harbaugh,Marc Trestman (fired Oct 10); Marty Mornhinweg (interim),Dean Pees,
2016,Buffalo Bills,"Rex Ryan (fired December 27, 7–8 record); Anthony Lynn (interim, 0–1 record)",,,
2016,Carolina Panthers,Ron Rivera,,,
2016,Chicago Bears,John Fox,,,
2016,Cincinnati Bengals,Marvin Lewis,,,
2016,Cleveland Browns,Hue Jackson,,,
2016,Dallas Cowboys,Jason Garrett,,,
2016,Denver Broncos,"Gary Kubiak; Joe DeCamillis (interim, Week 6)",,,
2016,Oakland Raiders,Jack Del Rio,,,
2016,Washington Redskins,Jay Gruden,Sean McVay,Joe Barry,
2017,Arizona Cardinals,Bruce Arians,,,
2017,Atlanta Falcons,Dan Quinn,Steve Sarkisian,Marquand Manuel,
2017,Baltimore Ravens,John Harbaugh,Marty Mornhinweg,Dean Pees,
2017,Buffalo Bills,Sean McDermott,Rick Dennison,Leslie Frazier,
2017,Carolina Panthers,Ron Rivera,Mike Shula,Steve Wilks,
2017,Chicago Bears,John Fox,,,
2017,Cincinnati Bengals,Marvin Lewis,,,
2017,Cleveland Browns,Hue Jackson,,,
2017,Dallas Cowboys,Jason Garrett,,,
2017,Denver Broncos,Vance Joseph,,,
2017,Detroit Lions,Jim Caldwell,,,
2017,Green Bay Packers,Mike McCarthy,,,
2017,Houston Texans,Bill O'Brien,,Mike Vrabel,
2017,Indianapolis Colts,Chuck Pagano,,,
2017,Jacksonville Jaguars,Doug Marrone,Nathaniel Hackett,Todd Wash,
2017,Kansas City Chiefs,Andy Reid,Matt Nagy,Bob Sutton,
2017,Miami Dolphins,Adam Gase,,,
2017,Minnesota Vikings,Mike Zimmer,Pat Shurmur,George Edwards,
2017,New England Patriots,Bill Belichick,Josh McDaniels,Matt Patricia,
2017,New Orleans Saints,Sean Payton,Pete Carmichael Jr.,Dennis Allen,
2017,New York Giants,"Ben McAdoo (fired December 4, 2–10 record); Steve Spagnuolo (interim, 1–3 record)",,,
2017,New York Jets,Todd Bowles,,,
2017,Philadelphia Eagles,Doug Pederson,Frank Reich,Jim Schwartz,
2017,Pittsburgh Steelers,Mike Tomlin,Todd Haley,Keith Butler,
2017,San Francisco 49ers,Kyle Shanahan,Kyle Shanahan (de facto),Robert Saleh,
2017,Seattle Seahawks,Pete Carroll,,,
2017,Tampa Bay Buccaneers,Dirk Koetter,,,
2017,Tennessee Titans,Mike Mularkey,Terry Robiskie,Dick LeBeau,
2017,Los Angeles Rams,Sean McVay,Matt LaFleur,Wade Phillips,
2017,Los Angeles Chargers,Anthony Lynn,,,
2017,Oakland Raiders,Jack Del Rio,,,
2017,Washington Redskins,Jay Gruden,Matt Cavanaugh,Greg Manusky,
2018,Arizona Cardinals,Steve Wilks,,,
2018,Atlanta Falcons,Dan Quinn,,,
2018,Baltimore Ravens,John Harbaugh,Marty Mornhinweg,Don Martindale,
2018,Buffalo Bills,Sean McDermott,,,
2018,Carolina Panthers,Ron Rivera,,,
2018,Chicago Bears,Matt Nagy,Mark Helfrich,Vic Fangio,
2018,Cincinnati Bengals,Marvin Lewis,,,
2018,Cleveland Browns,"Hue Jackson (fired October 29, 2–5–1 record); Gregg Williams (interim, 5–3 record)",,,
2018,Dallas Cowboys,Jason Garrett,Scott Linehan,Rod Marinelli,
2018,Denver Broncos,Vance Joseph,,,
2018,Detroit Lions,Matt Patricia,,,
2018,Green Bay Packers,"Mike McCarthy (fired December 2, 4–7–1 record); Joe Philbin (interim, 2–2 record)",,,
2018,Houston Texans,Bill O'Brien,,Romeo Crennel,
2018,Indianapolis Colts,Frank Reich,Nick Sirianni,Matt Eberflus,
2018,Jacksonville Jaguars,Doug Marrone,Nathaniel Hackett,Todd Wash,
2018,Kansas City Chiefs,Andy Reid,Eric Bieniemy,Bob Sutton,
2018,Miami Dolphins,Adam Gase,,,
2018,Minnesota Vikings,Mike Zimmer,,,
2018,New England Patriots,Bill Belichick,Josh McDaniels,,
2018,New Orleans Saints,Sean Payton,Pete Carmichael Jr.,Dennis Allen,
2018,New York Giants,Pat Shurmur,,,
2018,New York Jets,Todd Bowles,,,
2018,Philadelphia Eagles,Doug Pederson,Mike Groh,Jim Schwartz,
2018,Pittsburgh Steelers,Mike Tomlin,Randy Fichtner,Keith Butler,
2018,San Francisco 49ers,Kyle Shanahan,Kyle Shanahan (de facto),Robert Saleh,
2018,Seattle Seahawks,Pete Carroll,Brian Schottenheimer,Ken Norton Jr.,
2018,Tampa Bay Buccaneers,Dirk Koetter,,,
2018,Tennessee Titans,Mike Vrabel,,,
2018,Los Angeles Rams,Sean McVay,Sean McVay (de facto),Wade Phillips,
2018,Los Angeles Chargers,Anthony Lynn,Ken Whisenhunt,Gus Bradley,
2018,Oakland Raiders,Jon Gruden,,,
2018,Washington Redskins,Jay Gruden,Matt Cavanaugh,Greg Manusky,
2019,Arizona Cardinals,Kliff Kingsbury,,,
2019,Atlanta Falcons,Dan Quinn,,,
2019,Baltimore Ravens,John Harbaugh,Greg Roman,Don Martindale,
2019,Buffalo Bills,Sean McDermott,Brian Daboll,Leslie Frazier,
2019,Carolina Panthers,"Ron Rivera (fired on December 3; 5–7 record); Perry Fewell (interim, 0–4 record)",,,
2019,Chicago Bears,Matt Nagy,,,
2019,Cincinnati Bengals,Zac Taylor,,,
2019,Cleveland Browns,Freddie Kitchens,,,
2019,Dallas Cowboys,Jason Garrett,,,
2019,Denver Broncos,Vic Fangio,,,
2019,Detroit Lions,Matt Patricia,,,
2019,Green Bay Packers,Matt LaFleur,Nathaniel Hackett,Mike Pettine,
2019,Houston Texans,Bill O'Brien,Tim Kelly,Romeo Crennel,
2019,Indianapolis Colts,Frank Reich,,,
2019,Jacksonville Jaguars,Doug Marrone,John DeFilippo,Todd Wash,
2019,Kansas City Chiefs,Andy Reid,Eric Bieniemy,Steve Spagnuolo,
2019,Miami Dolphins,Brian Flores,,,
2019,Minnesota Vikings,Mike Zimmer,Kevin Stefanski,George Edwards,
2019,New England Patriots,Bill Belichick,Josh McDaniels,| owner           = Robert Kraft,
2019,New Orleans Saints,Sean Payton,Pete Carmichael Jr.,Dennis Allen,
2019,New York Giants,Pat Shurmur,,,
2019,New York Jets,Adam Gase,,,
2019,Philadelphia Eagles,Doug Pederson,Mike Groh,Jim Schwartz,
2019,Pittsburgh Steelers,Mike Tomlin,Randy Fichtner,Keith Butler,
2019,San Francisco 49ers,Kyle Shanahan,Kyle Shanahan (de facto),Robert Saleh,
2019,Seattle Seahawks,Pete Carroll,Brian Schottenheimer,Ken Norton Jr.,
2019,Tampa Bay Buccaneers,Bruce Arians,,,
2019,Tennessee Titans,Mike Vrabel,Arthur Smith,Dean Pees,
2019,Los Angeles Rams,Sean McVay,Sean McVay (de facto),Wade Phillips,
2019,Los Angeles Chargers,Anthony Lynn,,,
2019,Oakland Raiders,Jon Gruden,,,
2019,Washington Redskins,"Jay Gruden (fired on October 7, 0-5 record); Bill Callahan (interim, 3-8 record)",Kevin O'Connell,Greg Manusky,
2020,Arizona Cardinals,Kliff Kingsbury,,,
2020,Atlanta Falcons,Dan Quinn (fired Oct. 11; 0–5 record); Raheem Morris (interim; 4–7 record),,,
2020,Baltimore Ravens,John Harbaugh,Greg Roman,Don Martindale,
2020,Buffalo Bills,Sean McDermott,Brian Daboll,Leslie Frazier,
2020,Carolina Panthers,Matt Rhule,,,
2020,Chicago Bears,Matt Nagy,Bill Lazor,Chuck Pagano,
2020,Cincinnati Bengals,Zac Taylor,,,
2020,Cleveland Browns,Kevin Stefanski; (regular season),Alex Van Pelt,Joe Woods,
2020,Dallas Cowboys,Mike McCarthy,Kellen Moore,Mike Nolan,
2020,Denver Broncos,Vic Fangio,,,
2020,Detroit Lions,Matt Patricia (fired Nov. 28; 4–7 record); Darrell Bevell (interim; 1–4 record; COVID-19 Week 16); Robert Prince (interim Week 16; 0–1 record),,,
2020,Green Bay Packers,Matt LaFleur,Nathaniel Hackett,Mike Pettine,
2020,Houston Texans,"Bill O'Brien (fired Oct. 5, 0–4 record); Romeo Crennel (interim, 4–8 record)",Tim Kelly,Anthony Weaver,
2020,Indianapolis Colts,Frank Reich,Nick Sirianni,Matt Eberflus,
2020,Jacksonville Jaguars,Doug Marrone,Jay Gruden,Todd Wash,
2020,Kansas City Chiefs,Andy Reid,Eric Bieniemy,Steve Spagnuolo,
2020,Miami Dolphins,Brian Flores,,,
2020,Minnesota Vikings,Mike Zimmer,,,
2020,New England Patriots,Bill Belichick,,,
2020,New Orleans Saints,Sean Payton,Pete Carmichael Jr.,Dennis Allen,
2020,New York Giants,Joe Judge,,,
2020,New York Jets,Adam Gase,,,
2020,Philadelphia Eagles,Doug Pederson,,,
2020,Pittsburgh Steelers,Mike Tomlin,Randy Fichtner,Keith Butler,
2020,San Francisco 49ers,Kyle Shanahan,Kyle Shanahan (de facto),Robert Saleh,
2020,Seattle Seahawks,Pete Carroll,Brian Schottenheimer,Ken Norton Jr.,
2020,Tampa Bay Buccaneers,Bruce Arians,Byron Leftwich,Todd Bowles,
2020,Tennessee Titans,Mike Vrabel,Arthur Smith,| general_manager = Jon Robinson,
2020,Los Angeles Rams,Sean McVay,Kevin O'Connell,Brandon Staley,
2020,Los Angeles Chargers,Anthony Lynn,,,
2020,Las Vegas Raiders,Jon Gruden,,,
2020,Washington Football Team,Ron Rivera,Scott Turner,Jack Del Rio,
2021,Arizona Cardinals,Kliff Kingsbury,| def_coach       = Vance Joseph,,
2021,Atlanta Falcons,Arthur Smith,,,
2021,Baltimore Ravens,John Harbaugh,Greg Roman,Don Martindale,
2021,Buffalo Bills,Sean McDermott,Brian Daboll,Leslie Frazier,
2021,Carolina Panthers,Matt Rhule,,,
2021,Chicago Bears,Matt Nagy; Chris Tabor (Acting HC for Week 8 after Nagy tested positive for COVID-19),,,
2021,Cincinnati Bengals,Zac Taylor,Brian Callahan,Lou Anarumo,
2021,Cleveland Browns,Kevin Stefanski,,,
2021,Dallas Cowboys,Mike McCarthy,Kellen Moore,Dan Quinn,
2021,Denver Broncos,Vic Fangio,,,
2021,Detroit Lions,Dan Campbell,Anthony Lynn|def_coach=Aaron Glenn}},,
2021,Green Bay Packers,Matt LaFleur,Nathaniel Hackett,Joe Barry,
2021,Houston Texans,David Culley,Tim Kelly,Lovie Smith,
2021,Indianapolis Colts,Frank Reich,,,
2021,Jacksonville Jaguars,"Urban Meyer (fired December 16; 2–11 record); Darrell Bevell (interim, Weeks 15–18; 1–3 record)",Brian Schottenheimer,Joe Cullen,
2021,Kansas City Chiefs,Andy Reid,Eric Bieniemy,Steve Spagnuolo,
2021,Miami Dolphins,Brian Flores,,,
2021,Minnesota Vikings,Mike Zimmer,,,
2021,New England Patriots,Bill Belichick,Josh McDaniels,| owner           = Robert Kraft,
2021,New Orleans Saints,Sean Payton,Pete Carmichael Jr.,Dennis Allen,
2021,New York Giants,Joe Judge,,,
2021,New York Jets,Robert Saleh,,,
2021,Philadelphia Eagles,Nick Sirianni,Shane Steichen,Jonathan Gannon,
2021,Pittsburgh Steelers,Mike Tomlin,Matt Canada,Keith Butler,
2021,San Francisco 49ers,Kyle Shanahan,Mike McDaniel,DeMeco Ryans,
2021,Seattle Seahawks,Pete Carroll,,,
2021,Tampa Bay Buccaneers,Bruce Arians,| def_coach       =,,
2021,Tennessee Titans,Mike Vrabel,Todd Downing,Shane Bowen,
2021,Los Angeles Rams,Sean McVay,Kevin O'Connell,Raheem Morris,
2021,Los Angeles Chargers,Brandon Staley,,,
2021,Las Vegas Raiders,"Jon Gruden (resigned October 11, 3–2 record);  Rich Bisaccia (interim; 7–5 record)",Greg Olson,Gus Bradley,
2021,Washington Football Team,Ron Rivera,Scott Turner,Jack Del Rio,
2022,Arizona Cardinals,Kliff Kingsbury,,,
2022,Atlanta Falcons,Arthur Smith,,,
2022,Baltimore Ravens,John Harbaugh,Greg Roman,Mike Macdonald,
2022,Buffalo Bills,Sean McDermott,Ken Dorsey,Leslie Frazier,
2022,Carolina Panthers,Matt Rhule (fired October 10; 1–4 record); Steve Wilks (interim; 6–6 record),,,
2022,Chicago Bears,Matt Eberflus,,,
2022,Cincinnati Bengals,Zac Taylor,Brian Callahan,Lou Anarumo,
2022,Cleveland Browns,Kevin Stefanski,,,
2022,Dallas Cowboys,Mike McCarthy,Kellen Moore,Dan Quinn,
2022,Denver Broncos,"Nathaniel Hackett (fired on December 26, 4–11 record); Jerry Rosburg (interim; 1–1 record)",,,
2022,Detroit Lions,Dan Campbell,,,
2022,Green Bay Packers,Matt LaFleur,,,
2022,Houston Texans,Lovie Smith,,,
2022,Indianapolis Colts,Frank Reich (fired November 7; 3–5–1 record); Jeff Saturday (interim; 1–7 record),,,
2022,Jacksonville Jaguars,Doug Pederson,Press Taylor,Mike Caldwell,
2022,Kansas City Chiefs,Andy Reid,Eric Bieniemy,Steve Spagnuolo,
2022,Miami Dolphins,Mike McDaniel,Frank Smith,Vic Fangio,
2022,Minnesota Vikings,Kevin O'Connell,Wes Phillips,Ed Donatell,
2022,New England Patriots,Bill Belichick,,,
2022,New Orleans Saints,Dennis Allen,Pete Carmichael Jr.,Ryan Nielsen and Kris Richard,
2022,New York Giants,Brian Daboll,Mike Kafka,Don Martindale,
2022,New York Jets,Robert Saleh,,,
2022,Philadelphia Eagles,Nick Sirianni,Shane Steichen,Jonathan Gannon,
2022,Pittsburgh Steelers,Mike Tomlin,Matt Canada,Teryl Austin,
2022,San Francisco 49ers,Kyle Shanahan,Kyle Shanahan (de facto),DeMeco Ryans,
2022,Seattle Seahawks,Pete Carroll,Shane Waldron,Clint Hurtt,
2022,Tampa Bay Buccaneers,Todd Bowles,Byron Leftwich,| owner           = The Glazer family,
2022,Tennessee Titans,Mike Vrabel,,,
2022,Los Angeles Rams,Sean McVay,Liam Coen,Raheem Morris,
2022,Los Angeles Chargers,Brandon Staley,Joe Lombardi,Renaldo Hill,
2022,Las Vegas Raiders,Josh McDaniels,,,
2022,Washington Commanders,Ron Rivera,Scott Turner,Jack Del Rio,
2023,Arizona Cardinals,Jonathan Gannon,,,
2023,Atlanta Falcons,Arthur Smith,,,
2023,Baltimore Ravens,John Harbaugh,Todd Monken,Mike Macdonald,
2023,Buffalo Bills,Sean McDermott,Ken Dorsey (fired after Week 10) ;  Joe Brady (interim),| general_manager = Brandon Beane,
2023,Carolina Panthers,Frank Reich (fired November 27; 1–10 record); Chris Tabor (interim; 1–5 record),,,
2023,Chicago Bears,Matt Eberflus,,,
2023,Cincinnati Bengals,Zac Taylor,,,
2023,Cleveland Browns,Kevin Stefanski,Alex Van Pelt,Jim Schwartz,
2023,Dallas Cowboys,Mike McCarthy,Brian Schottenheimer,Dan Quinn,
2023,Denver Broncos,Sean Payton,Joe Lombardi,Vance Joseph,
2023,Detroit Lions,Dan Campbell,Ben Johnson,Aaron Glenn,
2023,Green Bay Packers,Matt LaFleur,Adam Stenavich,Joe Barry,
2023,Houston Texans,DeMeco Ryans,Bobby Slowik,Matt Burke,
2023,Indianapolis Colts,Shane Steichen,,,
2023,Jacksonville Jaguars,Doug Pederson,Press Taylor,Mike Caldwell,
2023,Kansas City Chiefs,Andy Reid,Matt Nagy,Steve Spagnuolo,
2023,Miami Dolphins,Mike McDaniel,,,
2023,Minnesota Vikings,Kevin O'Connell,,,
2023,New England Patriots,Bill Belichick,,,
2023,New Orleans Saints,Dennis Allen,,,
2023,New York Giants,Brian Daboll,,,
2023,New York Jets,Robert Saleh,,,
2023,Philadelphia Eagles,Nick Sirianni,Brian Johnson,Sean Desai,
2023,Pittsburgh Steelers,Mike Tomlin,Matt Canada,Teryl Austin,
2023,San Francisco 49ers,Kyle Shanahan,Kyle Shanahan (de facto),Steve Wilks,
2023,Seattle Seahawks,Pete Carroll,,,
2023,Tampa Bay Buccaneers,Todd Bowles,Dave Canales,| general_manager = Jason Licht,
2023,Tennessee Titans,Mike Vrabel,,,
2023,Los Angeles Rams,Sean McVay,Mike LaFleur,Raheem Morris,
2023,Los Angeles Chargers,"Brandon Staley (fired December 15, 5–9 record); Giff Smith (interim; 0–3 record)",,,
2023,Las Vegas Raiders,"Josh McDaniels (fired October 31, 3–5 record); Antonio Pierce (interim, 5–4 record)",,,
2023,Washington Commanders,Ron Rivera,Eric Bieniemy,,
2024,Arizona Cardinals,Jonathan Gannon,,,
2024,Atlanta Falcons,Raheem Morris,,,
2024,Baltimore Ravens,John Harbaugh,Todd Monken,Zach Orr,
2024,Buffalo Bills,Sean McDermott,Joe Brady,Bobby Babich,
2024,Carolina Panthers,Dave Canales,,,
2024,Chicago Bears,"Matt Eberflus (fired November 29, 4–8 record); Thomas Brown (interim, 1–4 record)",,,
2024,Cincinnati Bengals,Zac Taylor,,,
2024,Cleveland Browns,Kevin Stefanski,,,
2024,Dallas Cowboys,Mike McCarthy,,,
2024,Denver Broncos,Sean Payton,Joe Lombardi,Vance Joseph,
2024,Detroit Lions,Dan Campbell,,,
2024,Green Bay Packers,Matt LaFleur,Adam Stenavich,Jeff Hafley,
2024,Houston Texans,DeMeco Ryans,Bobby Slowik,Matt Burke,
2024,Indianapolis Colts,Shane Steichen,,,
2024,Jacksonville Jaguars,Doug Pederson,Press Taylor,Ryan Nielsen,
2024,Kansas City Chiefs,Andy Reid,Matt Nagy,Steve Spagnuolo,
2024,Miami Dolphins,Mike McDaniel,,,
2024,Minnesota Vikings,Kevin O'Connell,Wes Phillips,Brian Flores,
2024,New England Patriots,Jerod Mayo,,,
2024,New Orleans Saints,"Dennis Allen (fired November 4, 2–7 record); Darren Rizzi (interim, 3–5 record)",Klint Kubiak,Joe Woods,
2024,New York Giants,Brian Daboll,,,
2024,New York Jets,"Robert Saleh (fired October 8, 2–3 record); Jeff Ulbrich (interim, 3–9 record)",,,
2024,Philadelphia Eagles,Nick Sirianni,Kellen Moore,Vic Fangio,
2024,Pittsburgh Steelers,Mike Tomlin,Arthur Smith,Teryl Austin,
2024,San Francisco 49ers,Kyle Shanahan,Kyle Shanahan (de facto),Nick Sorensen,
2024,Seattle Seahawks,Mike Macdonald,,,
2024,Tampa Bay Buccaneers,Todd Bowles,Liam Coen,| owner           = The Glazer family,
2024,Tennessee Titans,Brian Callahan,,,
2024,Los Angeles Rams,Sean McVay,Mike LaFleur,Chris Shula,
2024,Los Angeles Chargers,Jim Harbaugh,Greg Roman,Jesse Minter,
2024,Las Vegas Raiders,Antonio Pierce,,,
2024,Washington Commanders,Dan Quinn,Kliff Kingsbury,Joe Whitt Jr.,
2025,Arizona Cardinals,Jonathan Gannon,,,
2025,Atlanta Falcons,Raheem Morris,,,
